,Город,Федеральный округ,lat,lng
65,Балей,Сибирский,"51,582284","116,637948"
118,Борзя,Сибирский,"50,387629","116,523485"
454,Краснокаменск,Сибирский,"50,09372","118,033256"
579,Могоча,Сибирский,"53,736206","119,76608"
616,Нерчинск,Сибирский,"51,95948","116,585415"
725,Петровск-Забайкальский,Сибирский,"51,274889","108,846689"
881,Сретенск,Сибирский,"52,246252","117,71192"
999,Хилок,Сибирский,"51,363401","110,459012"
1027,Чита,Сибирский,"52,033973","113,499432"
