,Город,Федеральный округ,lat,lng
331,Исилькуль,Сибирский,"54,911844","71,266945"
341,Калачинск,Сибирский,"55,052608","74,581782"
602,Называевск,Сибирский,"55,567066","71,348718"
691,Омск,Сибирский,"54,989342","73,368212"
954,Тюкалинск,Сибирский,"55,870506","72,195506"
