,Город,Федеральный округ,lat,lng
80,Белогорск,Дальневосточный,"50,921287","128,473917"
102,Благовещенск,Дальневосточный,"50,28702","127,541025"
284,Завитинск,Дальневосточный,"50,106518","129,439309"
307,Зея,Дальневосточный,"53,734033","127,265889"
776,Райчихинск,Дальневосточный,"49,794114","129,411255"
819,Свободный,Дальневосточный,"51,375889","128,134147"
842,Сковородино,Дальневосточный,"53,987177","123,943632"
952,Тында,Дальневосточный,"55,154656","124,729236"
1044,Шимановск,Дальневосточный,"51,85262","116,032735"
