,Город,Федеральный округ,lat,lng
364,Карачаевск,Северо-Кавказский,"43,773167","41,914313"
923,Теберда,Северо-Кавказский,"43,443841","41,741423"
976,Усть-Джегута,Северо-Кавказский,"44,083895","41,971042"
1019,Черкесск,Северо-Кавказский,"44,226863","42,04677"
