,Город,Федеральный округ,lat,lng
5,Агрыз,Приволжский,"56,526318","52,995266"
7,Азнакаево,Приволжский,"54,859808","53,074533"
22,Альметьевск,Приволжский,"54,901383","52,297113"
40,Арск,Приволжский,"56,091311","49,876989"
54,Бавлы,Приволжский,"54,406333","53,245896"
111,Болгар,Приволжский,"57,852118","114,198968"
126,Бугульма,Приволжский,"54,536413","52,789489"
130,Буинск,Приволжский,"54,964153","48,290142"
263,Елабуга,Приволжский,"55,75667","52,05446"
289,Заинск,Приволжский,"55,298984","52,006391"
304,Зеленодольск,Приволжский,"55,846906","48,500617"
325,Иннополис,Приволжский,"55,75208","48,744609"
338,Казань,Приволжский,"55,796289","49,108795"
476,Кукмор,Приволжский,"56,186599","50,893981"
499,Лаишево,Приволжский,"55,402449","49,543328"
504,Лениногорск,Приволжский,"54,599028","52,442667"
546,Мамадыш,Приволжский,"55,717771","51,410224"
563,Менделеевск,Приволжский,"55,895186","52,314397"
564,Мензелинск,Приволжский,"55,719972","53,101429"
596,НабережныеЧелны,Приволжский,"57,787134","38,455332"
625,Нижнекамск,Приволжский,"55,63407","51,809112"
671,Нурлат,Приволжский,"54,428117","50,804958"
928,Тетюши,Приволжский,"54,936931","48,830074"
1026,Чистополь,Приволжский,"55,372334","50,643575"
